	text_a	text_b	labels
0	A plane is taking off.	An air plane is taking off.	5.000
1	A man is playing a large flute.	A man is playing a flute.	3.800
2	A man is spreading shreded cheese on a pizza.	A man is spreading shredded cheese on an uncooked pizza.	3.800
3	Three men are playing chess.	Two men are playing chess.	2.600
4	A man is playing the cello.	A man seated is playing the cello.	4.250
5	Some men are fighting.	Two men are fighting.	4.250
6	A man is smoking.	A man is skating.	0.500
7	The man is playing the piano.	The man is playing the guitar.	1.600
8	A man is playing on a guitar and singing.	A woman is playing an acoustic guitar and singing.	2.200
9	A person is throwing a cat on to the ceiling.	A person throws a cat on the ceiling.	5.000
10	The man hit the other man with a stick.	The man spanked the other man with a stick.	4.200
11	A woman picks up and holds a baby kangaroo.	A woman picks up and holds a baby kangaroo in her arms.	4.600
12	A man is playing a flute.	A man is playing a bamboo flute.	3.867
13	A person is folding a piece of paper.	Someone is folding a piece of paper.	4.667
14	A man is running on the road.	A panda dog is running on the road.	1.667
15	A dog is trying to get bacon off his back.	A dog is trying to eat the bacon on its back.	3.750
16	The polar bear is sliding on the snow.	A polar bear is sliding across the snow.	5.000
17	A woman is writing.	A woman is swimming.	0.500
18	A cat is rubbing against baby's face.	A cat is rubbing against a baby.	3.800
19	The man is riding a horse.	A man is riding on a horse.	5.000
20	A man pours oil into a pot.	A man pours wine in a pot.	3.200
21	A man is playing a guitar.	A girl is playing a guitar.	2.800
22	A panda is sliding down a slide.	A panda slides down a slide.	4.600
23	A woman is eating something.	A woman is eating meat.	3.000
24	A woman peels a potato.	A woman is peeling a potato.	5.000
25	The boy fell off his bike.	A boy falls off his bike.	4.800
26	The woman is playing the flute.	A woman is playing a flute.	5.000
27	A rabbit is running from an eagle.	A hare is running from a eagle.	4.200
28	The woman is frying a breaded pork chop.	A woman is cooking a breaded pork chop.	4.200
29	A girl is flying a kite.	A girl running is flying a kite.	4.000
30	A man is riding a mechanical bull.	A man rode a mechanical bull.	4.000
31	The man is playing the guitar.	A man is playing a guitar.	4.909
32	A woman is dancing and singing with other women.	A woman is dancing and singing in the rain.	3.000
33	A man is slicing a bun.	A man is slicing an onion.	2.400
34	A man is pouring oil into a pan.	A man is pouring oil into a skillet.	4.200
35	A lion is playing with people.	A lion is playing with two men.	3.400
36	A dog rides a skateboard.	A dog is riding a skateboard.	5.000
37	Someone is carving a statue.	A man is carving a statue.	3.750
38	A woman is slicing an onion.	A man is cutting an onion.	2.750
39	A woman peels shrimp.	A woman is peeling shrimp.	5.000
40	A woman is frying fish.	A woman is cooking fish.	4.000
41	A woman is playing an electric guitar.	A woman is playing a guitar.	3.600
42	A baby tiger is playing with a ball.	A baby is playing with a doll.	1.600
43	A person is slicing a tomato.	A person is slicing some meat.	1.750
44	A person cuts an onion.	A person is cutting an onion.	5.000
45	A man is playing the piano.	A woman is playing the violin.	1.000
46	A woman is playing the flute.	A man is playing the guitar.	1.000
47	A man is cutting up a potato.	A man is cutting up carrots.	2.375
48	A kid is playing guitar.	A boy is playing a guitar.	3.800
49	A boy is playing guitar.	A man is playing a guitar.	3.200
50	A man is playing guitar.	A boy is playing a guitar.	3.200
51	A little boy is playing a keyboard.	A boy is playing key board.	4.400
52	A man is playing a guitar.	A man is playing an electric guitar.	3.750
53	A dog licks a baby.	A dog is licking a baby.	4.750
54	A woman is slicing an onion.	A man is cutting and onion.	3.200
55	A man is playing the guitar.	A man is playing the drums.	1.556
56	A woman is slicing a pepper.	A woman is cutting a red pepper.	3.938
57	A man is playing the drums.	A man plays the drum.	5.000
58	A woman rides a horse.	A woman is riding a horse.	5.000
59	A man is eating a banana by a tree.	A man is eating a banana.	4.000
60	A cat is playing a key board.	A man is playing two keyboards.	1.600
61	A man chops down a tree with an axe.	A man cut a tree with an axe.	4.750
62	A kid plays with a toy phone.	A little boy plays with a toy phone.	3.500
63	A man is riding a motorcycle.	A man is riding a horse.	1.400
64	A man is riding a motorcycle.	A man is riding a horse.	1.400
65	A squirrel is spinning around in circles.	A squirrel runs around in circles.	4.000
66	A man and a woman are kissing.	A man and woman kiss.	5.000
67	A man is getting into a car.	A man is getting into a car in a garage.	3.833
68	A man is dancing.	A man is talking.	0.600
69	A man is playing the guitar and singing.	A man is playing the guitar.	2.917
70	A person is cutting mushrooms.	A person is cutting mushrooms with a knife.	4.200
71	A tiger cub is making a sound.	A tiger is walking around.	2.000
72	A person is slicing onions.	A person is peeling an onion.	2.600
73	A man is playing the piano.	A man is playing the trumpet.	1.600
74	A woman is peeling a potato.	A woman is peeling an apple.	2.000
75	A pankda is eating bamboo.	A panda bear is eating some bamboo.	4.200
76	A person is peeling an onion.	A person is peeling an eggplant.	2.000
77	A monkey pushes another monkey.	The monkey pushed the other monkey.	4.800
78	A squirrel runs around in circles.	A squirrel is moving in circles.	4.400
79	A man is tying his shoe.	A man ties his shoe.	5.000
80	A boy is singing and playing the piano.	A boy is playing the piano.	3.000
81	A dog is eating water melon.	A dog is eating a piece of watermelon.	4.250
82	A woman is chopping broccoli.	A woman is chopping broccoli with a knife.	4.250
83	A man is peeling a potato.	A man peeled a potatoe.	3.800
84	A woman is playing a guitar.	A man plays a guitar.	2.400
85	A woman is slicing tomato.	A man is slicing onion.	1.600
86	A man swims underwater.	A woman is swimming underwater.	2.000
87	A man and woman are talking.	A man and woman is eating.	1.600
88	A small dog is chasing a yoga ball.	A dog is chasing a ball.	4.000
89	The men are playing cricket.	The men are playing basketball.	2.200
90	A man rides off on a motorcycle.	A man is riding on a motorcycle.	4.400
91	A man is playing a guitar.	A man is singing and playing a guitar.	3.600
92	The man talked on the telephone.	The man is talking on the phone.	3.600
93	A man is fishing.	A man is exercising.	0.500
94	A man is levitating.	A man is talking.	0.800
95	Two boys are driving.	Two bays are dancing.	0.600
96	A man is riding on a horse.	A girl is riding a horse.	2.600
97	A man is riding a bicycle.	A monkey is riding a bike.	2.000
98	A man is slicing potatoes.	A woman is peeling potato.	2.200
99	A woman is peeling a potato.	A man is slicing potato.	2.400
100	A man is playing a guitar.	Someoen is playing guitar.	3.600
101	A woman is slicing a leek.	A woman is slicing ginger.	2.200
102	The man cut a paper plate.	A man is cutting a paper plate.	4.800
103	The man is playing the guitar.	A man is playing the flute.	1.643
104	A man is playing the piano.	The man is playing the violin.	1.750
105	A woman is slicing up some meat.	A woman is breading some meat.	2.250
106	A man is playing on his keyboard.	A man is playing a keyboard piano.	4.000
107	The lady chopped up the green onions.	The lady cut up a green onion.	4.800
108	Someone is sitring noodles in water.	A woman is boiling noodles in water.	3.200
109	Lionel Richie is dancing on the ceiling.	Lionel Ritchie dances while standing on the ceiling.	4.000
110	A man is playing a piano.	A person is playing the piano.	4.400
111	A woman is playing flute.	A woman plays on a flute.	4.600
112	A boy is checking a calender.	A boy is looking at a calendar.	3.800
113	A woman is cutting an onion.	A woman is chopping onions.	4.800
114	A man is playing guitar.	A man plays a guitar.	4.857
115	A woman is using a sewing machine.	A woman is sewing on a machine.	5.000
116	A woman is flipping pancakes.	A cartoon chef is flipping pancakes.	2.533
117	A man is running on the road.	A car is driving down the road.	1.000
118	A man is riding on a horse.	A man is talking on a phone.	1.000
119	A man is riding a bike.	A man is riding on a horse.	2.000
120	A woman is dancing.	A man is eating.	0.143
121	A man is playing a piano.	A man is playing a flute.	2.000
122	A man is playing a flute.	A man is playing a piano.	1.600
123	A man is spinning.	A man is dancing.	1.600
124	A monkey is swinging from limb to limb.	A monkey is swinging from tree to tree.	3.400
125	The people got off the train.	The people got off the train at the station.	4.000
126	A dog is jumping on a trampoline.	A dog bounces on a trampoline.	4.800
127	A boy is playing an instrument.	A man is playing a trumpet.	2.500
128	A woman plays the guitar.	A man sings and plays the guitar.	1.750
129	A woman is picking a can.	A woman is slicing a tomato.	1.000
130	A man is climbing a rope.	A man climbs up a rope.	5.000
131	A man is lifting a car.	A man is climbing a wall.	1.400
132	A man and woman are driving down the street in a jeep.	A man and woman are driving down the road in an open air vehicle.	4.000
133	The shirtless man sat in a chair.	A shirtless man is sitting on a chair.	3.800
134	Two women are wrestling.	Two women are wrestling on the floor.	4.000
135	The puppy played with a blue tennis ball.	A puppy is playing with a tennis ball.	4.000
136	A kangroo is eating something.	A kangaroo is eating.	4.800
137	A cat is playing a piano.	A man is playing a guitar.	0.600
